Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C69        1206                  2979mil       2360mil       2979mil       2360mil       2924mil       2360mil  B        180.00 10uF/16V       
U11        SOIC8             3842.654mil    923.433mil   3948.953mil    848.433mil   3948.953mil    848.433mil  T        180.00 AD623ARZ,DNI   
U10        SOIC18-DW         2646.417mil   3917.323mil   2646.417mil   3917.323mil   2446.417mil   3732.284mil  T         90.00 ULN2803AFWG    
U6         SOP8-DUB           590.188mil   3894.533mil    440.188mil   3705.556mil    440.188mil   3705.557mil  T         90.00 ISO1050        
U5         SOT223S           1956.709mil   2214.669mil   1831.709mil   2305.669mil   1831.709mil   2123.669mil  T        270.00 AMS1117-3.3    
U4         LQFP64            2709.172mil   2691.217mil   2945.392mil   2543.579mil   2945.391mil   2543.578mil  T        180.00 STM32F103RBT6  
U1         TO-252            2318.525mil   1583.709mil   2228.525mil    1449.85mil   2228.525mil    1449.85mil  T        360.00 L78M05         
TP6        TP1               1472.323mil   1567.977mil   1472.441mil   1567.567mil   1472.323mil   1567.977mil  T        270.00 TP             
TP2        TP1               2754.229mil    384.567mil    2754.11mil    384.976mil   2754.229mil    384.567mil  T         90.00 TP             
TP1        TP1               2671.546mil    777.049mil   2671.428mil    777.459mil   2671.546mil    777.049mil  T         90.00 TP             
R90        0805              3591.079mil   1002.488mil   3591.079mil   1002.488mil   3553.677mil   1002.488mil  T        360.00 1K,1%          
R59        0805                   950mil       1586mil        950mil       1586mil    987.402mil       1586mil  T        180.00 1.5K,1%        
R58        0805                   800mil       1586mil        800mil       1586mil    837.402mil       1586mil  T        180.00 10K,1%         
R57        2512                   678mil       1238mil        678mil       1238mil    798.079mil       1238mil  T        180.00 1¦¸,1%         
R49        0805              2096.291mil   2695.803mil   2096.291mil   2695.803mil   2096.291mil   2733.205mil  T        270.00 4.7K,1%        
R18        0805               922.728mil    2234.99mil    922.728mil    2234.99mil    885.326mil    2234.99mil  T        360.00 1.2K,1%        
R17        0805              1085.602mil    2234.99mil   1085.602mil    2234.99mil     1048.2mil    2234.99mil  T        360.00 10K,1%         
R15        0805               646.402mil        350mil    646.402mil        350mil        609mil        350mil  T        360.00 10K,1%         
R10        0805              2466.402mil   2105.433mil   2466.402mil   2105.433mil   2503.803mil   2105.433mil  T        180.00 10K,1%         
R8         0805                   640mil       3530mil        640mil       3530mil        640mil   3567.402mil  T        270.00 4.7K,1%        
R7         0805                   540mil       3531mil        540mil       3531mil        540mil   3568.402mil  T        270.00 4.7K,1%        
Q3         SOIC8             3977.965mil   3021.614mil   3871.666mil   3096.614mil   3871.666mil   3096.614mil  T        360.00 FDS9945/SOP    
POW        VH3.96-2          1227.559mil    314.961mil   1149.606mil    314.961mil   1149.606mil    314.961mil  T        360.00 VH3.96-2       
Mark2      MARK_3MM              4380mil        241mil       4380mil        241mil       4380mil        241mil  T         90.00 Mark Point     
Mark1      MARK_3MM           287.402mil   4027.559mil    287.402mil   4027.559mil    287.402mil   4027.559mil  T        180.00 Mark Point     
L11        INDUCTOR_6*6      1173.417mil   1991.362mil   1173.417mil   1883.094mil   1173.417mil   1883.094mil  T         90.00 68uH           
L8         INDUCTOR_6*6          1109mil   1152.268mil       1109mil       1044mil       1109mil       1044mil  T         90.00 68uH           
J1         XH2.5-2P          4586.614mil   3068.898mil   4586.614mil    3118.11mil   4586.614mil    3118.11mil  T        270.00 XH2.54-2P      
GND3       Gnd_Point          3111.41mil   1341.842mil       3112mil       1342mil    3111.41mil   1341.842mil  T        180.00 GND Point      
FB3        0805              2836.787mil    844.921mil   2836.787mil    844.921mil   2799.386mil    844.921mil  T        360.00 220 ohm/100MHZ 
FB2        0805              2781.669mil    282.614mil   2781.669mil    282.614mil   2744.268mil    282.614mil  T        360.00 220 ohm/100MHZ 
F1         KF2510-3           315.014mil   2398.163mil    315.014mil   2498.163mil    315.014mil   2498.163mil  T        270.00 KF2510-3P      
D26        SMA                779.717mil   1887.032mil    779.717mil   1887.032mil    860.425mil   1887.032mil  T        360.00 B340A          
D9         SMA                   1175mil       1346mil       1175mil       1346mil   1255.709mil       1346mil  T        360.00 B340A          
D2         LED_0805           801.402mil        350mil    801.402mil        350mil    765.968mil        350mil  T        180.00 LED,Red        
CON2       HDR1X4            2356.559mil   2215.669mil   2206.559mil   2215.669mil   2206.559mil   2215.669mil  T        360.00 Header 4       
CD9        CX6.3*5.4             1872mil       4039mil       1872mil       4039mil       1872mil   3942.543mil  T         90.00 100uf/35V      
CD8        7343D             1052.172mil   2490.186mil   1052.172mil   2490.186mil   1178.156mil   2490.186mil  T        180.00 100uf/16V      
CD6        CX6.3*5.4              589mil       1488mil        589mil       1488mil        589mil   1391.543mil  T         90.00 100uf/35V      
CD5        7343D                 1384mil       1163mil       1384mil       1163mil       1384mil   1037.016mil  T         90.00 100uf/16V      
CD2        CX6.3*5.4             4000mil       4495mil       4000mil       4495mil       4000mil   4591.457mil  T        270.00 100uf/35V      
CD1        CX8*10.5              1512mil       2868mil       1512mil       2868mil   1647.827mil       2868mil  T        180.00 220uf/35V      
CAN        XH2.5-4P            497.79mil   4452.756mil    350.152mil   4452.756mil    350.152mil   4452.756mil  T        360.00 XH2.54-4P      
C114       1206                   585mil       2055mil        585mil       2055mil        585mil       2000mil  T        270.00 4.7uF/50V      
C113       1206                   477mil       2055mil        477mil       2055mil        477mil       2000mil  T        270.00 4.7uF/50V      
C99        0805               922.728mil    2324.99mil    922.728mil    2324.99mil    885.326mil    2324.99mil  T        360.00 150pF/50V      
C98        0805              1086.803mil   2327.976mil   1086.803mil   2327.976mil   1049.402mil   2327.976mil  T        360.00 1500pF/50V     
